rawdate,datestring,fulltime,timestring,,
2017/9/12,20170912,下午 09:10:00,2110,,
2017/9/13,20170913,下午 09:15:00,2115,,
2017/9/14,20170914,下午 09:20:00,2120,,
2017/9/15,20170915,下午 09:25:00,2125,,
2017/9/16,20170916,下午 09:30:00,2130,,
2017/9/17,20170917,下午 09:35:00,2135,,
2017/9/18,20170918,下午 09:40:00,2140,,
2017/9/19,20170919,下午 09:45:00,2145,,
2017/9/20,20170920,下午 09:50:00,2150,,
2017/9/21,20170921,下午 09:55:00,2155,,
2017/9/22,20170922,下午 10:00:00,2200,,
2017/9/23,20170923,下午 10:05:00,2205,,
2017/9/24,20170924,下午 10:10:00,2210,,
2017/9/25,20170925,下午 10:15:00,2215,,
2017/9/26,20170926,下午 10:20:00,2220,,
2017/9/27,20170927,下午 10:25:00,2225,,
2017/9/28,20170928,下午 10:30:00,2230,,
2017/9/29,20170929,下午 10:35:00,2235,,
2017/9/30,20170930,下午 10:40:00,2240,,
2017/10/1,20171001,下午 10:45:00,2245,,
2017/10/2,20171002,下午 10:50:00,2250,,
2017/10/3,20171003,下午 10:55:00,2255,,
2017/10/4,20171004,下午 11:00:00,2300,,
2017/10/5,20171005,下午 11:05:00,2305,,
2017/10/6,20171006,下午 11:10:00,2310,,
2017/10/7,20171007,下午 11:15:00,2315,,
2017/10/8,20171008,下午 11:20:00,2320,,
2017/10/9,20171009,下午 11:25:00,2325,,
2017/10/10,20171010,下午 11:30:00,2330,,
2017/10/11,20171011,下午 11:35:00,2335,,
2017/10/12,20171012,下午 11:40:00,2340,,
2017/10/13,20171013,下午 11:45:00,2345,,
2017/10/14,20171014,下午 11:50:00,2350,,
2017/10/15,20171015,下午 11:55:00,2355,,
2017/10/16,20171016,,,,
2017/10/17,20171017,,,,
2017/10/18,20171018,,,,
2017/10/19,20171019,,,,
2017/10/20,20171020,,,,
2017/10/21,20171021,,,,
2017/10/22,20171022,,,,
2017/10/23,20171023,,,,
2017/10/24,20171024,,,,
2017/10/25,20171025,,,,
2017/10/26,20171026,,,,
2017/10/27,20171027,,,,
2017/10/28,20171028,,,,
2017/10/29,20171029,,,,
2017/10/30,20171030,,,,
2017/10/31,20171031,,,,
2017/11/1,20171101,,,,
2017/11/2,20171102,,,,
2017/11/3,20171103,,,,
2017/11/4,20171104,,,,
2017/11/5,20171105,,,,
2017/11/6,20171106,,,,
2017/11/7,20171107,,,,
2017/11/8,20171108,,,,
2017/11/9,20171109,,,,
2017/11/10,20171110,,,,
2017/11/11,20171111,,,,
2017/11/12,20171112,,,,
2017/11/13,20171113,,,,
2017/11/14,20171114,,,,
2017/11/15,20171115,,,,
2017/11/16,20171116,,,,
2017/11/17,20171117,,,,
2017/11/18,20171118,,,,
2017/11/19,20171119,,,,
2017/11/20,20171120,,,,
2017/11/21,20171121,,,,
2017/11/22,20171122,,,,
2017/11/23,20171123,,,,
2017/11/24,20171124,,,,
2017/11/25,20171125,,,,
2017/11/26,20171126,,,,
2017/11/27,20171127,,,,
2017/11/28,20171128,,,,
2017/11/29,20171129,,,,
2017/11/30,20171130,,,,
2017/12/1,20171201,,,,
2017/12/2,20171202,,,,
2017/12/3,20171203,,,,
2017/12/4,20171204,,,,
2017/12/5,20171205,,,,
2017/12/6,20171206,,,,
2017/12/7,20171207,,,,
2017/12/8,20171208,,,,
2017/12/9,20171209,,,,
2017/12/10,20171210,,,,
2017/12/11,20171211,,,,
2017/12/12,20171212,,,,
2017/12/13,20171213,,,,
2017/12/14,20171214,,,,
2017/12/15,20171215,,,,
2017/12/16,20171216,,,,
2017/12/17,20171217,,,,
2017/12/18,20171218,,,,
2017/12/19,20171219,,,,
2017/12/20,20171220,,,,
2017/12/21,20171221,,,,
2017/12/22,20171222,,,,
2017/12/23,20171223,,,,
2017/12/24,20171224,,,,
2017/12/25,20171225,,,,
2017/12/26,20171226,,,,
2017/12/27,20171227,,,,
2017/12/28,20171228,,,,
2017/12/29,20171229,,,,
2017/12/30,20171230,,,,
2017/12/31,20171231,,,,
2018/1/1,20180101,,,,
2018/1/2,20180102,,,,
2018/1/3,20180103,,,,
2018/1/4,20180104,,,,
2018/1/5,20180105,,,,
2018/1/6,20180106,,,,
2018/1/7,20180107,,,,
2018/1/8,20180108,,,,
2018/1/9,20180109,,,,
2018/1/10,20180110,,,,
2018/1/11,20180111,,,,
2018/1/12,20180112,,,,
2018/1/13,20180113,,,,
2018/1/14,20180114,,,,
2018/1/15,20180115,,,,
2018/1/16,20180116,,,,
2018/1/17,20180117,,,,
2018/1/18,20180118,,,,
2018/1/19,20180119,,,,
2018/1/20,20180120,,,,
2018/1/21,20180121,,,,
2018/1/22,20180122,,,,
2018/1/23,20180123,,,,
2018/1/24,20180124,,,,
2018/1/25,20180125,,,,
2018/1/26,20180126,,,,
2018/1/27,20180127,,,,
2018/1/28,20180128,,,,
2018/1/29,20180129,,,,
2018/1/30,20180130,,,,
2018/1/31,20180131,,,,
2018/2/1,20180201,,,,
2018/2/2,20180202,,,,
2018/2/3,20180203,,,,
2018/2/4,20180204,,,,
2018/2/5,20180205,,,,
2018/2/6,20180206,,,,
2018/2/7,20180207,,,,
2018/2/8,20180208,,,,
2018/2/9,20180209,,,,
2018/2/10,20180210,,,,
2018/2/11,20180211,,,,
2018/2/12,20180212,,,,
2018/2/13,20180213,,,,
2018/2/14,20180214,,,,
2018/2/15,20180215,,,,
2018/2/16,20180216,,,,
2018/2/17,20180217,,,,
2018/2/18,20180218,,,,
2018/2/19,20180219,,,,
2018/2/20,20180220,,,,
2018/2/21,20180221,,,,
2018/2/22,20180222,,,,
2018/2/23,20180223,,,,
2018/2/24,20180224,,,,
2018/2/25,20180225,,,,
2018/2/26,20180226,,,,
2018/2/27,20180227,,,,
2018/2/28,20180228,,,,
2018/3/1,20180301,,,,
2018/3/2,20180302,,,,
2018/3/3,20180303,,,,
2018/3/4,20180304,,,,
2018/3/5,20180305,,,,
2018/3/6,20180306,,,,
2018/3/7,20180307,,,,
2018/3/8,20180308,,,,
2018/3/9,20180309,,,,
2018/3/10,20180310,,,,
2018/3/11,20180311,,,,
2018/3/12,20180312,,,,
2018/3/13,20180313,,,,
2018/3/14,20180314,,,,
2018/3/15,20180315,,,,
2018/3/16,20180316,,,,
2018/3/17,20180317,,,,
2018/3/18,20180318,,,,
2018/3/19,20180319,,,,
2018/3/20,20180320,,,,
2018/3/21,20180321,,,,
2018/3/22,20180322,,,,
2018/3/23,20180323,,,,
2018/3/24,20180324,,,,
2018/3/25,20180325,,,,
2018/3/26,20180326,,,,
2018/3/27,20180327,,,,
2018/3/28,20180328,,,,
2018/3/29,20180329,,,,
2018/3/30,20180330,,,,
2018/3/31,20180331,,,,
2018/4/1,20180401,,,,
2018/4/2,20180402,,,,
2018/4/3,20180403,,,,
2018/4/4,20180404,,,,
2018/4/5,20180405,,,,
2018/4/6,20180406,,,,
2018/4/7,20180407,,,,
2018/4/8,20180408,,,,
2018/4/9,20180409,,,,
2018/4/10,20180410,,,,
2018/4/11,20180411,,,,
2018/4/12,20180412,,,,
2018/4/13,20180413,,,,
2018/4/14,20180414,,,,
2018/4/15,20180415,,,,
2018/4/16,20180416,,,,
2018/4/17,20180417,,,,
2018/4/18,20180418,,,,
2018/4/19,20180419,,,,
2018/4/20,20180420,,,,
2018/4/21,20180421,,,,
2018/4/22,20180422,,,,
2018/4/23,20180423,,,,
2018/4/24,20180424,,,,
2018/4/25,20180425,,,,
2018/4/26,20180426,,,,
2018/4/27,20180427,,,,
2018/4/28,20180428,,,,
2018/4/29,20180429,,,,
2018/4/30,20180430,,,,
2018/5/1,20180501,,,,
2018/5/2,20180502,,,,
2018/5/3,20180503,,,,
2018/5/4,20180504,,,,
2018/5/5,20180505,,,,
2018/5/6,20180506,,,,
2018/5/7,20180507,,,,
2018/5/8,20180508,,,,
2018/5/9,20180509,,,,
2018/5/10,20180510,,,,
2018/5/11,20180511,,,,
2018/5/12,20180512,,,,
2018/5/13,20180513,,,,
2018/5/14,20180514,,,,
2018/5/15,20180515,,,,
2018/5/16,20180516,,,,
2018/5/17,20180517,,,,
2018/5/18,20180518,,,,
2018/5/19,20180519,,,,
2018/5/20,20180520,,,,
2018/5/21,20180521,,,,
2018/5/22,20180522,,,,
2018/5/23,20180523,,,,
2018/5/24,20180524,,,,
2018/5/25,20180525,,,,
2018/5/26,20180526,,,,
2018/5/27,20180527,,,,
2018/5/28,20180528,,,,
2018/5/29,20180529,,,,
2018/5/30,20180530,,,,
2018/5/31,20180531,,,,
2018/6/1,20180601,,,,
2018/6/2,20180602,,,,
2018/6/3,20180603,,,,
2018/6/4,20180604,,,,
2018/6/5,20180605,,,,
2018/6/6,20180606,,,,
2018/6/7,20180607,,,,
2018/6/8,20180608,,,,
2018/6/9,20180609,,,,
2018/6/10,20180610,,,,
2018/6/11,20180611,,,,
2018/6/12,20180612,,,,
